Geographic Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2023/08/20,37.0,NC,37171.0,Surry County,11921.0,59862.0,320639.0,63904.0,70441.0,37748.0,56499.0,52218.0,24507.0,8133.0,5455.0,1636.0,98.0,37-37171-20230820,34,8
County,2021/06/08,41.0,OR,41001.0,Baker County,3547.0,12577.0,64655.0,19738.0,15362.0,3783.0,4204.0,15509.0,4235.0,1213.0,459.0,114.0,38.0,41-41001-20210608,23,6
County,2022/10/27,13.0,GA,13125.0,Glascock County,140.0,2831.0,22210.0,4908.0,3470.0,1591.0,5420.0,4225.0,2092.0,401.0,51.0,25.0,27.0,13-13125-20221027,43,10
County,2021/10/06,28.0,MS,28029.0,Copiah County,3386.0,24679.0,109453.0,22041.0,40996.0,9454.0,10771.0,17288.0,6701.0,1150.0,595.0,405.0,52.0,28-28029-20211006,40,10
County,2022/02/02,38.0,ND,38033.0,Golden Valley County,295.0,1466.0,4807.0,895.0,710.0,73.0,297.0,2036.0,348.0,224.0,187.0,33.0,4.0,38-38033-20220202,5,2
County,2023/02/19,12.0,FL,12085.0,Martin County,34337.0,126663.0,547361.0,147736.0,136132.0,78474.0,86449.0,59799.0,21881.0,8571.0,6019.0,506.0,1794.0,12-12085-20230219,8,2
County,2019/02/05,42.0,PA,42059.0,Greene County,6941.0,29292.0,124907.0,27886.0,26212.0,15477.0,16451.0,22310.0,12524.0,2911.0,913.0,173.0,50.0,42-42059-20190205,5,2
County,2019/03/28,55.0,WI,55081.0,Monroe County,6698.0,39555.0,258370.0,55862.0,64282.0,31968.0,39845.0,43070.0,14837.0,4637.0,2920.0,871.0,78.0,55-55081-20190328,12,3
County,2023/12/22,40.0,OK,40093.0,Major County,1683.0,5946.0,28272.0,5323.0,5223.0,3654.0,3764.0,6274.0,2687.0,1078.0,213.0,23.0,33.0,40-40093-20231222,51,12
County,2019/08/22,20.0,KS,20065.0,Graham County,840.0,1642.0,5195.0,780.0,1479.0,43.0,481.0,1073.0,856.0,340.0,54.0,79.0,10.0,20-20065-20190822,33,8
